80 39
#####################################################################################
#             #                                           #                         #
#             #                                           #                         #
#             #    ##       ##    #######    ##     ##    #                         #
#             #    ###     ###   ##     ##   ##     ##    #                         #
#             #     ###   ###    ##     ##   ##     ##    #                         #
#             #      ### ###     ##     ##   ##     ##    #                         #
#             #       #####      ##     ##   ##     ##    #                         #
#             #        ###       ##     ##   ##     ##    #                         #
#             #        ###       ##     ##   ##     ##    #                         #
#             #        ###       ##     ##   ##     ##    #                         #
#             #        ###       ##     ##   ##     ##    #                         #
#             #        ###       ##     ##   ##     ##    #                         #
#             #        ###        #######     #######     #                         #
#             #                                           #                         #
#             #                    ###                    #                         #
#             #                    #@#                    #                         #
#             #                    ###                    #                         #
#             #                                           #                         #
#             #    ##       ##    #######    ##     ##    #                         #
#             #    ##       ##   ##     ##   ##     ##    #                         #
#             #    ##       ##   ##     ##   ###    ##    #                         #
#             #    ##       ##   ##     ##   ####   ##    #                         #
#             #    ###     ###   ##     ##   ## ##  ##    #                         #
#             #    ###     ###   ##     ##   ##  #  ##    #                         #
#             #    ###     ###   ##     ##   ##  ## ##    #                         #
#             #     ##  #  ##    ##     ##   ##   ####    #                         #
#             #     ## ### ##    ##     ##   ##    ###    #                         #
#             #     ## ### ##    ##     ##   ##     ##    #                         #
#             #     #### ####     #######    ##     ##    #                         #
#             #                                           #                         #
#             #############################################                         #
#             #                                           #                         #
#             #                                           #
#             #                                           #
#             #                                           #
#             #                                           #
#             #                                           #
#             #                                           #
#             #                                           #
#             #############################################
#                                                        #
#                                                        #
#                                                        #
#                                                        #
#                                                        #
#                                                        #
#                                                        #
